symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
EGFR	0.6946244623278642	0.36938062200554433	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	0.8571354637442761	No data	0.607930797611621	0.6452553847623119	No data	No data	No data	0.9939281339576939	0.16888491508015668	No data	1	1	1	1	1	1	0.5247950000000003	1	-0.7139547710976282	-0.9856076612666143	0	-1	-1	0	0.5	0
TP53	0.6639667840686521	0.5066242602006557	No data	No data	No data	No data	No data	No data	No data	No data	0.6205960225618631	0.865457038266544	No data	No data	0.07599134970145263	No data	No data	No data	0.9790128298997562	No data	No data	0.75	0	0	1	1	0	0	No data	-0.7412024269167126	-0.9868348194278981	0	-1	-1	0	-1	-1
IDH1	0.6633824885375236	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6205960225618631	0.8552440232145341	No data	No data	No data	No data	No data	0.607930797611621	0.9924740652700039	0.10837498525673579	No data	1	0	0	1	1	1	0.7826099999999997	1	-0.24048538334252623	-0.3074028175658705	0	No data	-1	-0.21497500000000008	0.5	-1
PTEN	0.640279256049528	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8274613634158176	0.8168599014522999	No data	No data	No data	No data	No data	No data	0.9690488564705122	No data	No data	No data	0	0	0	1	0	No data	No data	-0.4570325427468285	-0.9669786446700481	0	-1	-1	0	-1	-1
ATRX	0.6192228899155781	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7219178221638001	0.8195692123594236	No data	No data	No data	No data	No data	No data	0.833668492321873	No data	No data	No data	0	0	0	0	0	0.19742999999999994	No data	No data	-0.7175531862738634	0	No data	-1	0	-1	-1
RB1	0.6152960638010425	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7219178221638001	0.8128676649829846	No data	No data	No data	No data	No data	No data	0.8445682390570516	No data	No data	No data	0	0	1	1	0	0.5258600000000001	No data	-0.93138444567016	-0.9719087860456268	0	No data	-1	0	-1	-1
TERT	0.6128384915418048	0.7856378939985313	No data	No data	No data	No data	No data	No data	No data	No data	0.5319394479101685	No data	No data	0.607930797611621	No data	No data	No data	No data	0.9078245884930483	No data	No data	1	0	0	1	1	0	0	1	-0.5767236624379481	-0.796424287794761	0	No data	No data	No data	No data	No data
NF1	0.6073827737123049	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7725787219647684	0.788771898556644	No data	No data	No data	No data	No data	No data	0.7731883462924433	No data	No data	No data	1	0	0	0	1	0.9225099999999997	No data	-0.7403199117484831	-0.9769015319440377	0	No data	-1	0	-1	-1
BRAF	0.6003251081250316	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	0.8137680166509418	No data	No data	0.19307977242379676	No data	No data	No data	0.782729034391988	No data	No data	1	1	0	1	1	1	0.6083550000000002	1	-0.932377275234418	-0.9693088027055469	0	-1	-1	0	-1	-1
PIK3CA	0.5809310981448873	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6037090559615403	0.7723632812323831	No data	No data	0.18411717662097815	No data	No data	No data	0.9355354103956792	No data	No data	1	0	0	1	1	1	0.9344549999999998	1	-0.9434087148372863	-0.9497310810501532	0	-1	-1	0	-1	-1
PIK3R1	0.5789734627587937	0.5723413410879045	No data	No data	No data	No data	No data	No data	No data	No data	0.7219178221638001	0.607930797611621	No data	No data	0.18411717662097815	No data	No data	No data	0.4207569423420092	No data	No data	0.75	0	0	1	1	0	0.7997250000000001	No data	-0.8354109211252069	-0.9178001208142011	0	-1	-1	0	-1	-1
FGFR1	0.5730415767993081	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	0.19489872741273342	No data	No data	0.19156223311960618	No data	No data	0.7599134970145264	0.8230686973504339	No data	No data	1	0	0	1	1	1	0.9209249999999998	1	-0.906784335355764	-0.9744123884163269	0	-1	No data	-0.2791975000000001	-1	-1
GSR	0.5573647179713802	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9061383051539366	No data	No data	No data	0.2136866695427602	No data	No data	1	0	0	1	1	1	0.15709000000000017	0	0.36558190843905125	-0.5075911764237512	0	-1	No data	0	-1	-1
VEGFA	0.5500499313103837	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8523675596271174	No data	No data	No data	0.9446965721262989	0.2334591798634339	No data	1	0	1	1	1	0	0.18987499999999996	No data	-0.5552123552123552	-0.9928422036515041	0	-1	No data	0	-1	-1
PDGFRA	0.5445501644527366	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7219178221638001	0.3300142714091462	No data	No data	0.5008584632092795	No data	No data	No data	0.9379217530979459	0.027369860382987853	No data	1	1	0	1	1	0	0.5913699999999998	0	-0.9141753998896855	-0.9757977924805769	0	No data	-1	0	0.5	-1
CDKN2A	0.5358077202104803	0.19468798437458978	No data	No data	No data	No data	No data	No data	No data	No data	0.7556917553644457	0.3700404953455419	No data	No data	No data	No data	No data	No data	0.9223309391539479	No data	No data	No data	0	0	0	0	0	0	No data	-0.29994484280198563	-0.7104814595785444	0	No data	-1	-0.21474249999999984	0.5	0
PTPN11	0.5125313180861406	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.565713381110814	0.6843782957486756	No data	No data	No data	No data	No data	No data	0.7770806609666371	No data	No data	0.5	0	0	1	1	0	0.9747050000000002	1	-0.9784886927744071	-0.9832687418361019	-1	-1	-1	0	-1	-1
ALK	0.4723164178117986	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5699351227608948	No data	No data	0.607930797611621	0.14353921610274387	No data	No data	No data	0.7892488593687165	No data	No data	1	1	0	1	1	1	0.3580249999999999	1	-0.6186431329288472	-0.8172185383760391	0	No data	-1	0	0.5	0.5
CDKN2B	0.4668705989374219	0.7314443666701206	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7214025785318199	0.02034849251927744	No data	No data	0	0	0	0	0	0.09420500000000018	No data	0.8688361831218974	-0.4782224558601425	0	No data	No data	-0.4384049999999998	0.5	0
