DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2012-05-16	22472174	Xiao Y	2012-04-03	Clin Cancer Res	www.ncbi.nlm.nih.gov/pubmed/22472174	SSBP2 variants are associated with survival in glioblastoma patients.	Glioblastoma	315 European ancestry cases	434 European ancestry cases	5q14.1	5	81423306	SSBP2	SSBP2			ENSG00000145687			rs7732320-T	rs7732320	0	7732320	intron_variant	0	0.11	1E-6	6.0		1.64	[1.34-2.00]	Illumina [314635]	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST001470	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	12q21.32	12	86936044		MGAT4C - RPL23AP68	ENSG00000182050	ENSG00000242850		97140	233941	rs184833898-?	rs184833898	0	184833898	intergenic_variant	1	NR	9E-6	5.045757490560675		17.864223	[5.00171073-63.8042626]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	11q23.2	11	113735193		ZW10			ENSG00000086827			rs185553959-?	rs185553959	0	185553959	intron_variant	0	NR	5E-7	6.301029995663981		18.62491	[5.974521435-58.06110555]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	11q22.1	11	98036148		LINC02713 - CNTN5	ENSG00000255502	ENSG00000149972		76590	984801	rs186110847-?	rs186110847	0	186110847	intergenic_variant	1	NR	3E-6	5.522878745280337		3.6645296	[2.131359417-6.300569335]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	11q14.3	11	92347966		FAT3			ENSG00000165323			rs186370342-?	rs186370342	0	186370342	intron_variant	0	NR	9E-6	5.045757490560675		5.088077	[2.479289433-10.44191505]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	12q21.33	12	91048372		EPYC - KERA	ENSG00000083782	ENSG00000139330		43346	2119	rs186984001-?	rs186984001	0	186984001	intergenic_variant	1	NR	6E-6	5.221848749616356		15.8679285	[4.798522222-52.47264572]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	5q12.3	5	66621976		MAST4			ENSG00000069020			rs187079057-?	rs187079057	0	187079057	intron_variant	0	NR	6E-6	5.221848749616356		19.377256	[5.34302515-70.27442959]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	2p13.3	2	69675861		ANXA4			ENSG00000196975			rs187174763-?	rs187174763	0	187174763	intergenic_variant	0	NR	5E-6	5.301029995663981		2.89736	[1.832622498-4.580700802]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	5q12.1	5	63027873		ISCA1P1 - HTR1A	ENSG00000217416	ENSG00000178394		250610	930001	rs187225666-?	rs187225666	0	187225666	intergenic_variant	1	NR	2E-6	5.698970004336019		5.737365	[2.790196435-11.79750419]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
2025-03-26	36810956	Foss-Skiftesvik J	2023-02-22	Neuro Oncol	www.ncbi.nlm.nih.gov/pubmed/36810956	Multi-ancestry genome-wide association study of 4,069 children with glioma identifies 9p21.3 risk locus.	Glioblastoma	90 European ancestry cases, 7,183 European ancestry controls	NA	20p11.23	20	20988460		LINC03083 - LINC00237	ENSG00000234104	ENSG00000225127		15894	68916	rs187322128-?	rs187322128	0	187322128	intergenic_variant	1	NR	1E-5	5.0		16.480865	[4.767928815-56.96790277]	Affymetrix, Illumina [11212017] (imputed)	N	glioblastoma multiforme	http://www.ebi.ac.uk/efo/EFO_0000519	GCST90296481	Genome-wide genotyping array
